"ProteinGroup","ProteinName","Genes","UniprotID"
"P37108","SRP14_HUMAN","SRP14","P37108"
"P36578","RL4_HUMAN","RPL4","P36578"
"O76031","CLPX_HUMAN","CLPX","O76031"
"P55036","PSMD4_HUMAN","PSMD4","P55036"
"A1X283","SPD2B_HUMAN","SH3PXD2B","A1X283"
"Q9BQE4","SELS_HUMAN","SELENOS","Q9BQE4"
"Q8WWH5","TRUB1_HUMAN","TRUB1","Q8WWH5"
"Q96GQ5","RUSF1_HUMAN","RUSF1","Q96GQ5"
"P59768","GBG2_HUMAN","GNG2","P59768"
"O95159","ZFPL1_HUMAN","ZFPL1","O95159"
"Q6P2E9","EDC4_HUMAN","EDC4","Q6P2E9"
"Q9NZQ3","SPN90_HUMAN","NCKIPSD","Q9NZQ3"
"Q9NQP4","PFD4_HUMAN","PFDN4","Q9NQP4"
"O15357","SHIP2_HUMAN","INPPL1","O15357"
"Q9H9Y2","RPF1_HUMAN","RPF1","Q9H9Y2"
"O15042","SR140_HUMAN","U2SURP","O15042"
"P02786","TFR1_HUMAN","TFRC","P02786"
"P07954","FUMH_HUMAN","FH","P07954"
"Q9Y490","TLN1_HUMAN","TLN1","Q9Y490"
"O94826","TOM70_HUMAN","TOMM70","O94826"
"Q8N4T8","CBR4_HUMAN","CBR4","Q8N4T8"
"P35221","CTNA1_HUMAN","CTNNA1","P35221"
"Q96C19","EFHD2_HUMAN","EFHD2","Q96C19"
"Q96T51","RUFY1_HUMAN","RUFY1","Q96T51"
"Q9BQS8","FYCO1_HUMAN","FYCO1","Q9BQS8"
"P58107","EPIPL_HUMAN","EPPK1","P58107"
"P51970","NDUA8_HUMAN","NDUFA8","P51970"
"Q53GG5","PDLI3_HUMAN","PDLIM3","Q53GG5"
"P0DMV8;P0DMV9","HS71A_HUMAN;HS71B_HUMAN","HSPA1A;HSPA1B","P0DMV9;P0DMV8"
"Q15063","POSTN_HUMAN","POSTN","Q15063"
"Q16853","AOC3_HUMAN","AOC3","O75106;Q16853"
"Q8IYS1","P20D2_HUMAN","PM20D2","Q8IYS1"
"P31948","STIP1_HUMAN","STIP1","P31948"
"Q13423","NNTM_HUMAN","NNT","Q13423"
"Q13939","CALI_HUMAN","CCIN","Q13939"
"P98172","EFNB1_HUMAN","EFNB1","P98172"
"O60716","CTND1_HUMAN","CTNND1","O60716"
"Q14498","RBM39_HUMAN","RBM39","Q14498"
"Q15042","RB3GP_HUMAN","RAB3GAP1","Q15042"
"Q9NX63","MIC19_HUMAN","CHCHD3","Q9NX63"
"Q9H477","RBSK_HUMAN","RBKS","Q9H477"
"P26641","EF1G_HUMAN","EEF1G","P26641"
"P20810","ICAL_HUMAN","CAST","P20810"
"Q96D96","HVCN1_HUMAN","HVCN1","Q96D96"
"P31350","RIR2_HUMAN","RRM2","P31350"
"Q16643","DREB_HUMAN","DBN1","Q16643"
"P53618","COPB_HUMAN","COPB1","P53618"
"Q9NVA2","SEP11_HUMAN","SEPTIN11","Q9NVA2"
"Q7Z5L9","I2BP2_HUMAN","IRF2BP2","Q7Z5L9"
"P08559","ODPA_HUMAN","PDHA1","P08559"
"P14555","PA2GA_HUMAN","PLA2G2A","P14555"
"Q8N1S5","S39AB_HUMAN","SLC39A11","Q8N1S5"
"P02730","B3AT_HUMAN","SLC4A1","P02730"
"Q03252","LMNB2_HUMAN","LMNB2","Q03252"
"P49006","MRP_HUMAN","MARCKSL1","P49006"
"Q7KZF4","SND1_HUMAN","SND1","Q7KZF4"
"P09327","VILI_HUMAN","VIL1","P09327"
"Q6UWP2","DHR11_HUMAN","DHRS11","Q6UWP2"
"Q12955","ANK3_HUMAN","ANK3","Q12955"
"Q13087","PDIA2_HUMAN","PDIA2","Q13087"
"P19404","NDUV2_HUMAN","NDUFV2","P19404"
"O43837","IDH3B_HUMAN","IDH3B","O43837"
"Q8IVF7;Q96PY5","FMNL2_HUMAN;FMNL3_HUMAN","FMNL2;FMNL3","Q96PY5;Q8IVF7"
"O00468","AGRIN_HUMAN","AGRN","O00468"
"P13995","MTDC_HUMAN","MTHFD2","P13995"
"P35749","MYH11_HUMAN","MYH11","P35749"
"P17858","PFKAL_HUMAN","PFKL","P17858"
"Q9H7E9","CH033_HUMAN","C8orf33","Q9H7E9"
"O95336","6PGL_HUMAN","PGLS","O95336"
"P55060","XPO2_HUMAN","CSE1L","P55060"
"Q9BUH6","PAXX_HUMAN","PAXX","Q9BUH6"
"O15269","SPTC1_HUMAN","SPTLC1","O15269"
"Q9P265","DIP2B_HUMAN","DIP2B","Q9P265"
"A0A024RBG1;O95989;Q9NZJ9","NUD4B_HUMAN;NUDT3_HUMAN;NUDT4_HUMAN","NUDT3;NUDT4;NUDT4B","O95989;Q96G61;Q8NFP7;Q9NZJ9;A0A024RBG1"
"Q8TDX7","NEK7_HUMAN","NEK7","Q8TDX7"
"P13796","PLSL_HUMAN","LCP1","P13796"
"Q01813","PFKAP_HUMAN","PFKP","Q01813"
"P06753","TPM3_HUMAN","TPM3","P06753"
"Q14980","NUMA1_HUMAN","NUMA1","Q14980"
"Q9UNF0","PACN2_HUMAN","PACSIN2","Q9UNF0"
"Q9UBQ7","GRHPR_HUMAN","GRHPR","Q9UBQ7"
"P02766","TTHY_HUMAN","TTR","P02766"
"Q14CN2","CLCA4_HUMAN","CLCA4","Q14CN2"
"P06753;P07951;P09493;P67936","TPM1_HUMAN;TPM2_HUMAN;TPM3_HUMAN;TPM4_HUMAN","TPM1;TPM2;TPM3;TPM4","P06753;P07951;P09493;P67936"
"P51452","DUS3_HUMAN","DUSP3","P51452"
"Q63HN8","RN213_HUMAN","RNF213","Q63HN8"
"Q9Y277","VDAC3_HUMAN","VDAC3","Q9Y277"
"Q7Z3D6","GLUCM_HUMAN","DGLUCY","Q7Z3D6"
"P53814","SMTN_HUMAN","SMTN","P53814"
"Q9UHG2","PCS1N_HUMAN","PCSK1N","Q9UHG2"
"Q86VP6","CAND1_HUMAN","CAND1","Q86VP6"
"Q96ST3","SIN3A_HUMAN","SIN3A","Q96ST3"
"Q12888","TP53B_HUMAN","TP53BP1","Q12888"
"O95782","AP2A1_HUMAN","AP2A1","O95782"
"Q15293","RCN1_HUMAN","RCN1","Q15293"
"O15382","BCAT2_HUMAN","BCAT2","O15382"
"Q9UBV2","SE1L1_HUMAN","SEL1L","Q9UBV2"
"P30038","AL4A1_HUMAN","ALDH4A1","P30038"
"Q8IVT2","MISP_HUMAN","MISP","Q8IVT2"
"Q5R3I4","TTC38_HUMAN","TTC38","Q5R3I4"
"P98196","AT11A_HUMAN","ATP11A","P98196"
"P31327","CPSM_HUMAN","CPS1","P31327"
"P80723","BASP1_HUMAN","BASP1","P80723"
"O75569","PRKRA_HUMAN","PRKRA","O75569"
"Q8IZ83","A16A1_HUMAN","ALDH16A1","Q8IZ83"
"Q12929","EPS8_HUMAN","EPS8","Q12929"
"P46821","MAP1B_HUMAN","MAP1B","P46821"
"Q14554","PDIA5_HUMAN","PDIA5","Q14554"
"Q5TZA2","CROCC_HUMAN","CROCC","Q5TZA2"
"Q08211","DHX9_HUMAN","DHX9","Q08211"
"Q92817","EVPL_HUMAN","EVPL","Q92817"
"P06454","PTMA_HUMAN","PTMA","P06454"
"Q9Y2A7","NCKP1_HUMAN","NCKAP1","Q9Y2A7"
"P35475","IDUA_HUMAN","IDUA","P35475"
"Q01995","TAGL_HUMAN","TAGLN","Q01995"
"Q15149","PLEC_HUMAN","PLEC","Q15149"
"P20962","PTMS_HUMAN","PTMS","P20962"
"P11586","C1TC_HUMAN","MTHFD1","P11586"
"P29966","MARCS_HUMAN","MARCKS","P29966"
"Q13751","LAMB3_HUMAN","LAMB3","Q13751"
"P07108","ACBP_HUMAN","DBI","P07108"
"O95425","SVIL_HUMAN","SVIL","O95425"
"Q9BZL4","PP12C_HUMAN","PPP1R12C","Q9BZL4"
"Q52LJ0","FA98B_HUMAN","FAM98B","Q52LJ0"
"P12111","CO6A3_HUMAN","COL6A3","P12111"
"Q9P260","RELCH_HUMAN","RELCH","Q9P260"
"Q9UHV9","PFD2_HUMAN","PFDN2","Q9UHV9"
"Q86Y79","PTH_HUMAN","PTRH1","Q86Y79"
"Q9NVM6","DJC17_HUMAN","DNAJC17","Q9NVM6"
"Q6P179","ERAP2_HUMAN","ERAP2","Q6P179"
"P35232","PHB_HUMAN","PHB","P35232"
"Q5JVF3","PCID2_HUMAN","PCID2","Q5JVF3"
"O15020","SPTN2_HUMAN","SPTBN2","O15020"
"Q96I15","SCLY_HUMAN","SCLY","Q96I15"
"Q08379","GOGA2_HUMAN","GOLGA2","Q08379"
"P78318","IGBP1_HUMAN","IGBP1","P78318"
"P33176","KINH_HUMAN","KIF5B","P33176"
"O60524","NEMF_HUMAN","NEMF","O60524"
"Q9C0C2","TB182_HUMAN","TNKS1BP1","Q9C0C2"
"Q12769","NU160_HUMAN","NUP160","Q12769"
"P49327","FAS_HUMAN","FASN","P49327"
"P35606","COPB2_HUMAN","COPB2","P35606"
"Q9UGM1","ACHA9_HUMAN","CHRNA9","Q9UGM1"
"Q8N3D4","EH1L1_HUMAN","EHBP1L1","Q8N3D4"
"Q9UDT6","CLIP2_HUMAN","CLIP2","Q9UDT6"
"Q709C8","VP13C_HUMAN","VPS13C","Q709C8"
"Q8IXK2","GLT12_HUMAN","GALNT12","Q8IXK2"
"Q10471;Q8N4A0","GALT2_HUMAN;GALT4_HUMAN","GALNT2;GALNT4","Q8N4A0;Q10471"
"Q7Z4V5","HDGR2_HUMAN","HDGFL2","Q7Z4V5"
"Q9NVZ3","NECP2_HUMAN","NECAP2","Q9NVZ3"
"Q13045","FLII_HUMAN","FLII","Q13045"
"Q9NUQ6","SPS2L_HUMAN","SPATS2L","Q9NUQ6"
"P62258","1433E_HUMAN","YWHAE","P62258"
"Q13439","GOGA4_HUMAN","GOLGA4","Q13439"
"P49257","LMAN1_HUMAN","LMAN1","P49257"
"Q969H8","MYDGF_HUMAN","MYDGF","Q969H8"
"Q86UX2","ITIH5_HUMAN","ITIH5","Q86UX2"
"P50416","CPT1A_HUMAN","CPT1A","P50416"
"O00273","DFFA_HUMAN","DFFA","O00273"
"A6NKG5","RTL1_HUMAN","RTL1","A6NKG5"
"P31040","SDHA_HUMAN","SDHA","P31040"
"Q12882","DPYD_HUMAN","DPYD","Q12882"
"P08311","CATG_HUMAN","CTSG","P08311"
"Q9UID3","VPS51_HUMAN","VPS51","Q9UID3"
"Q8WUM0","NU133_HUMAN","NUP133","Q8WUM0"
"Q92667","AKAP1_HUMAN","AKAP1","Q92667"
"P05091","ALDH2_HUMAN","ALDH2","P05091"
"Q8WX93","PALLD_HUMAN","PALLD","Q8WX93"
"Q86XP3","DDX42_HUMAN","DDX42","Q86XP3"
"Q13123","RED_HUMAN","IK","Q13123"
"Q96CT7","CC124_HUMAN","CCDC124","Q96CT7"
"P02768","ALBU_HUMAN","ALB","P02768"
"Q6XQN6","PNCB_HUMAN","NAPRT","Q6XQN6"
"P19623","SPEE_HUMAN","SRM","P19623"
"P26006","ITA3_HUMAN","ITGA3","P26006"
"Q9NSD9","SYFB_HUMAN","FARSB","Q9NSD9"
"P52758","RIDA_HUMAN","RIDA","P52758"
"Q9Y315","DEOC_HUMAN","DERA","Q9Y315"
"Q86UP2","KTN1_HUMAN","KTN1","Q86UP2"
"P09758","TACD2_HUMAN","TACSTD2","P09758"
"Q8TE68","ES8L1_HUMAN","EPS8L1","Q8TE68"
"Q9Y5K8","VATD_HUMAN","ATP6V1D","Q9Y5K8"
"O95786","DDX58_HUMAN","DDX58","O95786"
"P22102","PUR2_HUMAN","GART","P22102"
"Q9HC84","MUC5B_HUMAN","MUC5B","Q9HC84"
"Q9H4A6","GOLP3_HUMAN","GOLPH3","Q9H4A6"
"P46926","GNPI1_HUMAN","GNPDA1","P46926"
"Q15124","PGM5_HUMAN","PGM5","Q15124"
"P28838","AMPL_HUMAN","LAP3","P28838"
"P30566","PUR8_HUMAN","ADSL","P30566"
"P47736","RPGP1_HUMAN","RAP1GAP","P47736"
"O75533","SF3B1_HUMAN","SF3B1","O75533"
"P39059","COFA1_HUMAN","COL15A1","P39059"
"Q13144","EI2BE_HUMAN","EIF2B5","Q13144"
"Q96RW7","HMCN1_HUMAN","HMCN1","Q96RW7"
"Q9BQ69","MACD1_HUMAN","MACROD1","Q9BQ69"
"P27694","RFA1_HUMAN","RPA1","P27694"
"O75369","FLNB_HUMAN","FLNB","O75369"
"Q9BZE9","ASPC1_HUMAN","ASPSCR1","Q9BZE9"
"Q5T653","RM02_HUMAN","MRPL2","Q5T653"
"Q8N5M9","JAGN1_HUMAN","JAGN1","Q8N5M9"
"Q14974","IMB1_HUMAN","KPNB1","Q14974"
"P05386","RLA1_HUMAN","RPLP1","P05386"
"P98160","PGBM_HUMAN","HSPG2","P98160"
"Q9Y230","RUVB2_HUMAN","RUVBL2","Q9Y230"
"Q9H0N5","PHS2_HUMAN","PCBD2","Q9H0N5"
"P59074;Q9H444","CHM4B_HUMAN;CHM4P_HUMAN","CHMP4B;CHMP4BP1","Q9H444;P59074"
"Q8WZA9","IRGQ_HUMAN","IRGQ","Q8WZA9"
"Q15833","STXB2_HUMAN","STXBP2","Q15833"
"O43795","MYO1B_HUMAN","MYO1B","O43795"
"Q9UQ80","PA2G4_HUMAN","PA2G4","Q9UQ80"
"P78371","TCPB_HUMAN","CCT2","P78371"
"P36269","GGT5_HUMAN","GGT5","P36269"
"Q2TAY7","SMU1_HUMAN","SMU1","Q2TAY7"
"Q96PK6","RBM14_HUMAN","RBM14","Q96PK6"
"P35637;Q92804","FUS_HUMAN;RBP56_HUMAN","FUS;TAF15","P35637;Q92804"
"Q92804","RBP56_HUMAN","TAF15","Q92804"
"P35637","FUS_HUMAN","FUS","P35637"
"Q9UHB9","SRP68_HUMAN","SRP68","Q9UHB9"
"Q8N556","AFAP1_HUMAN","AFAP1","Q8N556"
"Q7Z6B0","CCD91_HUMAN","CCDC91","Q7Z6B0"
"Q15075","EEA1_HUMAN","EEA1","Q15075"
"Q9P2E9","RRBP1_HUMAN","RRBP1","Q9P2E9"
"O14744","ANM5_HUMAN","PRMT5","O14744"
"O15083;Q8IUD2","ERC2_HUMAN;RB6I2_HUMAN","ERC1;ERC2","O15083;Q8IUD2"
"Q02318","CP27A_HUMAN","CYP27A1","Q02318"
"Q08380","LG3BP_HUMAN","LGALS3BP","Q08380"
"Q6ZV29","PLPL7_HUMAN","PNPLA7","Q6ZV29"
"Q9NXG0","CNTLN_HUMAN","CNTLN","Q9NXG0"
"O60645","EXOC3_HUMAN","EXOC3","O60645"
"P19827","ITIH1_HUMAN","ITIH1","P19827"
"Q7Z3J2","VP35L_HUMAN","VPS35L","Q7Z3J2"
"O75175","CNOT3_HUMAN","CNOT3","O75175"
"P30273","FCERG_HUMAN","FCER1G","P30273"
"P61970","NTF2_HUMAN","NUTF2","P61970"
"O00339","MATN2_HUMAN","MATN2","O00339"
"Q9HA77","SYCM_HUMAN","CARS2","Q9HA77"
"Q9HC35","EMAL4_HUMAN","EML4","Q9HC35"
"Q32P44","EMAL3_HUMAN","EML3","Q32P44"
"Q9Y4F1","FARP1_HUMAN","FARP1","Q9Y4F1"
"Q96SY0","INT14_HUMAN","INTS14","Q96SY0"
"Q14195","DPYL3_HUMAN","DPYSL3","Q14195"
"Q16555","DPYL2_HUMAN","DPYSL2","Q16555"
"Q8IVF2","AHNK2_HUMAN","AHNAK2","Q8IVF2"
"Q9Y240","CLC11_HUMAN","CLEC11A","Q9Y240"
"O43155","FLRT2_HUMAN","FLRT2","O43155"
"P54920","SNAA_HUMAN","NAPA","P54920"
"Q68EM7","RHG17_HUMAN","ARHGAP17","Q68EM7"
"P15428","PGDH_HUMAN","HPGD","P15428"
"P09417","DHPR_HUMAN","QDPR","P09417"
"Q8NFW8","NEUA_HUMAN","CMAS","Q8NFW8"
"P11766","ADHX_HUMAN","ADH5","P11766"
"P46020","KPB1_HUMAN","PHKA1","P46020"
"P34897","GLYM_HUMAN","SHMT2","P34897"
"O15061","SYNEM_HUMAN","SYNM","O15061"
"O95319","CELF2_HUMAN","CELF2","O95319"
"P52815","RM12_HUMAN","MRPL12","P52815"
"P08727","K1C19_HUMAN","KRT19","P08727"
"Q96FS4","SIPA1_HUMAN","SIPA1","Q96FS4"
"P12081","HARS1_HUMAN","HARS1","P12081"
"Q15057","ACAP2_HUMAN","ACAP2","Q15057"
"Q9H0D6","XRN2_HUMAN","XRN2","Q9H0D6"
"Q9NRV9","HEBP1_HUMAN","HEBP1","Q9NRV9"
"P09601","HMOX1_HUMAN","HMOX1","P09601"
"Q92797","SYMPK_HUMAN","SYMPK","Q92797"
"O75643","U520_HUMAN","SNRNP200","O75643"
"Q9BRX8","PXL2A_HUMAN","PRXL2A","Q9BRX8"
"Q99707","METH_HUMAN","MTR","Q99707"
"Q8IYD8","FANCM_HUMAN","FANCM","Q8IYD8"
"Q4V9L6","TM119_HUMAN","TMEM119","Q4V9L6"
"P11172","UMPS_HUMAN","UMPS","P11172"
"P14317","HCLS1_HUMAN","HCLS1","P14317"
"P41227","NAA10_HUMAN","NAA10","P41227"
"Q8NDH3","PEPL1_HUMAN","NPEPL1","Q8NDH3"
"P33240;Q9H0L4","CSTF2_HUMAN;CSTFT_HUMAN","CSTF2;CSTF2T","P33240;Q9H0L4"
"Q9Y5V0","ZN706_HUMAN","ZNF706","Q9Y5V0"
"Q3KQV9","UAP1L_HUMAN","UAP1L1","Q3KQV9"
"O00401","WASL_HUMAN","WASL","O00401"
"Q96EV2","RBM33_HUMAN","RBM33","Q96EV2"
"Q13813","SPTN1_HUMAN","SPTAN1","Q13813"
"Q92616","GCN1_HUMAN","GCN1","Q92616"
"P08476","INHBA_HUMAN","INHBA","P08476"
"P07814","SYEP_HUMAN","EPRS1","P07814"
"Q6PGP7","TTC37_HUMAN","TTC37","Q6PGP7"
"Q3ZAQ7","VMA21_HUMAN","VMA21","Q3ZAQ7"
"Q8IUC4","RHPN2_HUMAN","RHPN2","Q8IUC4"
"Q13217","DNJC3_HUMAN","DNAJC3","Q13217"
"Q99988","GDF15_HUMAN","GDF15","Q99988"
"Q7Z6Z7","HUWE1_HUMAN","HUWE1","Q7Z6Z7"
"Q9H3S7","PTN23_HUMAN","PTPN23","Q9H3S7"
"Q9NRN5","OLFL3_HUMAN","OLFML3","Q9NRN5"
"P50583","AP4A_HUMAN","NUDT2","P50583"
"P62851","RS25_HUMAN","RPS25","P62851"
"O96013","PAK4_HUMAN","PAK4","O96013"
"P78527","PRKDC_HUMAN","PRKDC","P78527"
"O95831","AIFM1_HUMAN","AIFM1","O95831"
"Q04637","IF4G1_HUMAN","EIF4G1","Q04637"
"Q07954","LRP1_HUMAN","LRP1","Q07954"
"Q6B0K9","HBM_HUMAN","HBM","Q6B0K9"
"P61201","CSN2_HUMAN","COPS2","P61201"
"P04114","APOB_HUMAN","APOB","P04114"
"P55084","ECHB_HUMAN","HADHB","P55084"
"Q9BS40","LXN_HUMAN","LXN","Q9BS40"
"Q9BUF5","TBB6_HUMAN","TUBB6","Q9BUF5"
"Q96C11","FGGY_HUMAN","FGGY","Q96C11"
"P54886","P5CS_HUMAN","ALDH18A1","P54886"
"O95248","MTMR5_HUMAN","SBF1","O95248"
"P48728","GCST_HUMAN","AMT","P48728"
"Q16891","MIC60_HUMAN","IMMT","Q16891"
"P35222","CTNB1_HUMAN","CTNNB1","P35222"
"Q96G03","PGM2_HUMAN","PGM2","Q96G03"
"P14923","PLAK_HUMAN","JUP","P14923"
"P63010;Q10567","AP1B1_HUMAN;AP2B1_HUMAN","AP1B1;AP2B1","P63010;Q10567"
"Q15746","MYLK_HUMAN","MYLK","Q15746"
"P11277;Q01082","SPTB1_HUMAN;SPTB2_HUMAN","SPTB;SPTBN1","Q01082;O15020;P11277"
"Q9P0K7","RAI14_HUMAN","RAI14","Q9P0K7"
"O75781","PALM_HUMAN","PALM","O75781"
"Q8NE71","ABCF1_HUMAN","ABCF1","Q8NE71"
"Q8WWA0","ITLN1_HUMAN","ITLN1","Q8WWA0"
"P42765","THIM_HUMAN","ACAA2","P42765"
"P18206","VINC_HUMAN","VCL","P18206"
"P25787","PSA2_HUMAN","PSMA2","P25787"
"P07947;P12931","SRC_HUMAN;YES_HUMAN","SRC;YES1","P12931;P07947"
"P09769","FGR_HUMAN","FGR","P09769"
"P06239","LCK_HUMAN","LCK","P06239"
"Q9Y4P8","WIPI2_HUMAN","WIPI2","Q9Y4P8"
"P46063","RECQ1_HUMAN","RECQL","P46063"
"P08574","CY1_HUMAN","CYC1","P08574"
"Q9BV44","THUM3_HUMAN","THUMPD3","Q9BV44"
"Q8IY81","SPB1_HUMAN","FTSJ3","Q8IY81"
"Q9Y4L1","HYOU1_HUMAN","HYOU1","Q9Y4L1"
"Q9Y6E0","STK24_HUMAN","STK24","Q9Y6E0"
"O00506;Q9P289","STK25_HUMAN;STK26_HUMAN","STK25;STK26","O00506;Q9P289"
"P07948","LYN_HUMAN","LYN","P07948"
"P17676","CEBPB_HUMAN","CEBPB","P17676"
"Q9UKV3","ACINU_HUMAN","ACIN1","Q9UKV3"
"Q96GQ7","DDX27_HUMAN","DDX27","Q96GQ7"
"Q9Y639","NPTN_HUMAN","NPTN","Q9Y639"
"P31146","COR1A_HUMAN","CORO1A","P31146"
"Q96TA1","NIBA2_HUMAN","NIBAN2","Q96TA1"
"Q8IVP5","FUND1_HUMAN","FUNDC1","Q8IVP5"
"Q92947","GCDH_HUMAN","GCDH","Q92947"
"P01854","IGHE_HUMAN","IGHE","P01854"
"Q15181","IPYR_HUMAN","PPA1","Q15181"
"Q15233","NONO_HUMAN","NONO","Q15233"
"O00391","QSOX1_HUMAN","QSOX1","O00391"
"P06737;P11216;P11217","PYGB_HUMAN;PYGL_HUMAN;PYGM_HUMAN","PYGB;PYGL;PYGM","P11216;P06737;P11217"
"Q15120","PDK3_HUMAN","PDK3","Q15120"
"P22760","AAAD_HUMAN","AADAC","P22760"
"Q9NR99","MXRA5_HUMAN","MXRA5","Q9NR99"
"Q7L2J0","MEPCE_HUMAN","MEPCE","Q7L2J0"
"Q9Y6H1","CHCH2_HUMAN","CHCHD2","Q9Y6H1;Q5T1J5"
"Q9HCB6","SPON1_HUMAN","SPON1","Q9HCB6"
"Q96CF2","CHM4C_HUMAN","CHMP4C","Q96CF2"
"A0M8Q6;P0CF74","IGLC6_HUMAN;IGLC7_HUMAN","IGLC6;IGLC7","P0DOY3;P0CF74;A0M8Q6;P0DOY2"
"Q02505","MUC3A_HUMAN","MUC3A","Q9H195;Q02505"
"P37837","TALDO_HUMAN","TALDO1","P37837"
"P06132","DCUP_HUMAN","UROD","P06132"
"O94906","PRP6_HUMAN","PRPF6","O94906"
"P62995","TRA2B_HUMAN","TRA2B","P62995"
"P04075","ALDOA_HUMAN","ALDOA","P04075"
"P0DN79;P35520","CBSL_HUMAN;CBS_HUMAN","CBS;CBSL","P0DN79;P35520"
"P12318","FCG2A_HUMAN","FCGR2A","P31995;P12318"
"O75594","PGRP1_HUMAN","PGLYRP1","O75594"
"Q13952","NFYC_HUMAN","NFYC","Q13952"
"Q16134","ETFD_HUMAN","ETFDH","Q16134"
"Q2TB90","HKDC1_HUMAN","HKDC1","Q2TB90"
"P19367","HXK1_HUMAN","HK1","P19367"
"P52789","HXK2_HUMAN","HK2","P52789"
"P52790","HXK3_HUMAN","HK3","P52790"
"P55268","LAMB2_HUMAN","LAMB2","P55268"
"Q9NZL4","HPBP1_HUMAN","HSPBP1","Q9NZL4"
"P43353","AL3B1_HUMAN","ALDH3B1","P43353"
"P23610","HAP40_HUMAN","F8A3","P23610"
"Q969V3","NCLN_HUMAN","NCLN","Q969V3"
"P07942","LAMB1_HUMAN","LAMB1","P07942"
"Q96B54","ZN428_HUMAN","ZNF428","Q96B54"
"Q96A26","F162A_HUMAN","FAM162A","Q96A26"
"P35914","HMGCL_HUMAN","HMGCL","P35914"
"Q9NUU7;Q9UMR2","DD19A_HUMAN;DD19B_HUMAN","DDX19A;DDX19B","Q9UMR2;Q9NUU7"
"P46459","NSF_HUMAN","NSF","P46459"
"Q8IVM0","CCD50_HUMAN","CCDC50","Q8IVM0"
"Q96I24","FUBP3_HUMAN","FUBP3","Q96I24"
"P01023","A2MG_HUMAN","A2M","P01023"
"O96011","PX11B_HUMAN","PEX11B","O96011"
"Q9BTW9","TBCD_HUMAN","TBCD","Q9BTW9"
"O75367","H2AY_HUMAN","MACROH2A1","O75367"
"O00154","BACH_HUMAN","ACOT7","O00154"
"Q96HY6","DDRGK_HUMAN","DDRGK1","Q96HY6"
"P55145","MANF_HUMAN","MANF","P55145"
"Q16787","LAMA3_HUMAN","LAMA3","Q16787"
"P13861","KAP2_HUMAN","PRKAR2A","P13861"
"Q9HBL0","TENS1_HUMAN","TNS1","Q9HBL0"
"O94985","CSTN1_HUMAN","CLSTN1","O94985"
"Q8IXQ6","PARP9_HUMAN","PARP9","Q8IXQ6"
"P09525","ANXA4_HUMAN","ANXA4","P09525"
"Q96CM8","ACSF2_HUMAN","ACSF2","Q96CM8"
"P10643","CO7_HUMAN","C7","P10643"
"P26640","SYVC_HUMAN","VARS1","P26640"
"P23588","IF4B_HUMAN","EIF4B","P23588"
"Q9Y5B9","SP16H_HUMAN","SUPT16H","Q9Y5B9"
"Q08378","GOGA3_HUMAN","GOLGA3","Q08378"
"Q96N66","MBOA7_HUMAN","MBOAT7","Q96N66"
"Q6ZWK4","RHEX_HUMAN","RHEX","Q6ZWK4"
"Q9UHL4","DPP2_HUMAN","DPP7","Q9UHL4"
"P30101","PDIA3_HUMAN","PDIA3","P30101"
"Q8N3V7","SYNPO_HUMAN","SYNPO","Q8N3V7"
"Q9NZM1","MYOF_HUMAN","MYOF","Q9NZM1"
"Q8IYJ3","SYTL1_HUMAN","SYTL1","Q8IYJ3"
"P16870","CBPE_HUMAN","CPE","P16870"
"O15484","CAN5_HUMAN","CAPN5","O15484"
"Q9Y446","PKP3_HUMAN","PKP3","Q9Y446"
"O60885","BRD4_HUMAN","BRD4","O60885"
"Q16363","LAMA4_HUMAN","LAMA4","Q16363"
"Q14126","DSG2_HUMAN","DSG2","Q14126"
"Q9Y3F4","STRAP_HUMAN","STRAP","Q9Y3F4"
"Q9UPT8","ZC3H4_HUMAN","ZC3H4","Q9UPT8"
"Q15084","PDIA6_HUMAN","PDIA6","Q15084"
"Q8WUF5","IASPP_HUMAN","PPP1R13L","Q8WUF5"
"Q6P1J9","CDC73_HUMAN","CDC73","Q6P1J9"
"P55263","ADK_HUMAN","ADK","P55263"
"P01042","KNG1_HUMAN","KNG1","P01042"
"Q9HCC0","MCCB_HUMAN","MCCC2","Q9HCC0"
"P24821","TENA_HUMAN","TNC","P24821"
"Q02952","AKA12_HUMAN","AKAP12","Q02952"
"P31323","KAP3_HUMAN","PRKAR2B","P31323"
"Q14683","SMC1A_HUMAN","SMC1A","Q14683"
"Q53H96","P5CR3_HUMAN","PYCR3","Q53H96"
"Q9Y3Q8","T22D4_HUMAN","TSC22D4","Q9Y3Q8"
"Q96GG9","DCNL1_HUMAN","DCUN1D1","Q96GG9"
"P13667","PDIA4_HUMAN","PDIA4","P13667"
"P80303","NUCB2_HUMAN","NUCB2","P80303"
"P51608","MECP2_HUMAN","MECP2","P51608"
"Q14204","DYHC1_HUMAN","DYNC1H1","Q14204"
"P13611","CSPG2_HUMAN","VCAN","P13611"
"Q8N128","F177A_HUMAN","FAM177A1","Q8N128"
"Q9BXK5","B2L13_HUMAN","BCL2L13","Q9BXK5"
"Q15436","SC23A_HUMAN","SEC23A","Q15436"
"Q05133","VE1_HPV07","E1","Q05133"
"P02649","APOE_HUMAN","APOE","P02649"
"Q7L266","ASGL1_HUMAN","ASRGL1","Q7L266"
